id,State,County,Year,Estimate Gini Index
0500000US01003, Alabama,Baldwin,2015,0.4722
0500000US01015, Alabama,Calhoun,2015,0.4219
0500000US01043, Alabama,Cullman,2015,0.4438
0500000US01049, Alabama,DeKalb,2015,0.4639
0500000US01051, Alabama,Elmore,2015,0.462
0500000US01055, Alabama,Etowah,2015,0.4125
0500000US01069, Alabama,Houston,2015,0.4854
0500000US01073, Alabama,Jefferson,2015,0.495
0500000US01077, Alabama,Lauderdale,2015,0.4737
0500000US01081, Alabama,Lee,2015,0.4927
0500000US01083, Alabama,Limestone,2015,0.4502
0500000US01089, Alabama,Madison,2015,0.4711
0500000US01095, Alabama,Marshall,2015,0.482
0500000US01097, Alabama,Mobile,2015,0.4789
0500000US01101, Alabama,Montgomery,2015,0.4938
0500000US01103, Alabama,Morgan,2015,0.4573
0500000US01115, Alabama,St. Clair,2015,0.4079
0500000US01117, Alabama,Shelby,2015,0.4424
0500000US01121, Alabama,Talladega,2015,0.4726
0500000US01125, Alabama,Tuscaloosa,2015,0.4686
0500000US01127, Alabama,Walker,2015,0.4582
0500000US02020, Alaska,Anchorage Munic,2015,0.4525
0500000US02090, Alaska,Fairbanks North Star ,2015,0.3956
0500000US02170, Alaska,Matanuska-Susitna ,2015,0.3862
0500000US04001, Arizona,Apache,2015,0.5056
0500000US04003, Arizona,Cochise,2015,0.4506
0500000US04005, Arizona,Coconino,2015,0.483
0500000US04013, Arizona,Maricopa,2015,0.4716
0500000US04015, Arizona,Mohave,2015,0.4286
0500000US04017, Arizona,Navajo,2015,0.4682
0500000US04019, Arizona,Pima,2015,0.4707
0500000US04021, Arizona,Pinal,2015,0.4276
0500000US04025, Arizona,Yavapai,2015,0.4294
0500000US04027, Arizona,Yuma,2015,0.4379
0500000US05007, Arkansas,Benton,2015,0.4622
0500000US05031, Arkansas,Craighead,2015,0.4681
0500000US05045, Arkansas,Faulkner,2015,0.4606
0500000US05051, Arkansas,Garland,2015,0.5256
0500000US05069, Arkansas,Jefferson,2015,0.4805
0500000US05085, Arkansas,Lonoke,2015,0.3799
0500000US05119, Arkansas,Pulaski,2015,0.5146
0500000US05125, Arkansas,Saline,2015,0.3935
0500000US05131, Arkansas,Sebastian,2015,0.4972
0500000US05143, Arkansas,Washington,2015,0.4755
0500000US05145, Arkansas,White,2015,0.4775
0500000US06001, California,Alameda,2015,0.463
0500000US06007, California,Butte,2015,0.4666
0500000US06013, California,Contra Costa,2015,0.4709
0500000US06017, California,El Dorado,2015,0.445
0500000US06019, California,Fresno,2015,0.4711
0500000US06023, California,Humboldt,2015,0.4833
0500000US06025, California,Imperial,2015,0.4621
0500000US06029, California,Kern,2015,0.4609
0500000US06031, California,Kings,2015,0.4678
0500000US06033, California,Lake,2015,0.4417
0500000US06037, California,Los Angeles,2015,0.4992
0500000US06039, California,Madera,2015,0.4552
0500000US06041, California,Marin,2015,0.5315
0500000US06045, California,Mendocino,2015,0.4715
0500000US06047, California,Merced,2015,0.4763
0500000US06053, California,Monterey,2015,0.4704
0500000US06055, California,Napa,2015,0.5005
0500000US06057, California,Nevada,2015,0.4494
0500000US06059, California,Orange,2015,0.4703
0500000US06061, California,Placer,2015,0.441
0500000US06065, California,Riverside,2015,0.4492
0500000US06067, California,Sacramento,2015,0.4558
0500000US06071, California,San Bernardino,2015,0.4445
0500000US06073, California,San Diego,2015,0.4589
0500000US06075, California,San Francisco,2015,0.5208
0500000US06077, California,San Joaquin,2015,0.452
0500000US06079, California,San Luis Obispo,2015,0.4658
0500000US06081, California,San Mateo,2015,0.4859
0500000US06083, California,Santa Barbara,2015,0.4811
0500000US06085, California,Santa Clara,2015,0.4629
0500000US06087, California,Santa Cruz,2015,0.4833
0500000US06089, California,Shasta,2015,0.4584
0500000US06095, California,Solano,2015,0.425
0500000US06097, California,Sonoma,2015,0.4657
0500000US06099, California,Stanislaus,2015,0.4485
0500000US06101, California,Sutter,2015,0.4501
0500000US06107, California,Tulare,2015,0.4772
0500000US06111, California,Ventura,2015,0.4404
0500000US06113, California,Yolo,2015,0.4815
0500000US06115, California,Yuba,2015,0.4363
0500000US08001, Colorado,Adams,2015,0.4079
0500000US08005, Colorado,Arapahoe,2015,0.4633
0500000US08013, Colorado,Boulder,2015,0.4857
0500000US08014, Colorado,Broomfield,2015,0.4167
0500000US08031, Colorado,Denver,2015,0.4927
0500000US08035, Colorado,Douglas,2015,0.3975
0500000US08041, Colorado,El Paso,2015,0.4331
0500000US08059, Colorado,Jefferson,2015,0.4422
0500000US08069, Colorado,Larimer,2015,0.4469
0500000US08077, Colorado,Mesa,2015,0.4448
0500000US08101, Colorado,Pueblo,2015,0.4748
0500000US08123, Colorado,Weld,2015,0.3993
0500000US09001, Connecticut,Fairfield,2015,0.5404
0500000US09003, Connecticut,Hartford,2015,0.4684
0500000US09005, Connecticut,Litchfield,2015,0.4678
0500000US09007, Connecticut,Middlesex,2015,0.4271
0500000US09009, Connecticut,New Haven,2015,0.4617
0500000US09011, Connecticut,New London,2015,0.4446
0500000US09013, Connecticut,Tolland,2015,0.4376
0500000US09015, Connecticut,Windham,2015,0.3897
0500000US10001, Delaware,Kent,2015,0.4375
0500000US10003, Delaware,New Castle,2015,0.4543
0500000US10005, Delaware,Sussex,2015,0.446
0500000US11001, District of Columbia,District of C,2015,0.5354
0500000US12001, Florida,Alachua,2015,0.5026
0500000US12005, Florida,Bay,2015,0.4446
0500000US12009, Florida,Brevard,2015,0.4471
0500000US12011, Florida,Broward,2015,0.4788
