id,Geographic Area Name,Estimate Gini Index
0400000US01,Alabama,0.4811
0400000US02,Alaska,0.4322
0400000US04,Arizona,0.4702
0400000US05,Arkansas,0.4773
0400000US06,California,0.4876
0400000US08,Colorado,0.458
0400000US09,Connecticut,0.4916
0400000US10,Delaware,0.4523
0400000US11,District of Columbia,0.5354
0400000US12,Florida,0.4872
0400000US13,Georgia,0.4801
0400000US15,Hawaii,0.4346
0400000US16,Idaho,0.4525
0400000US17,Illinois,0.4817
0400000US18,Indiana,0.4519
0400000US19,Iowa,0.4393
0400000US20,Kansas,0.4596
0400000US21,Kentucky,0.4781
0400000US22,Louisiana,0.4909
0400000US23,Maine,0.4523
0400000US24,Maryland,0.4524
0400000US25,Massachusetts,0.4848
0400000US26,Michigan,0.4667
0400000US27,Minnesota,0.4492
0400000US28,Mississippi,0.4759
0400000US29,Missouri,0.4634
0400000US30,Montana,0.4623
0400000US31,Nebraska,0.4473
0400000US32,Nevada,0.4548
0400000US33,New Hampshire,0.4347
0400000US34,New Jersey,0.4832
0400000US35,New Mexico,0.4795
0400000US36,New York,0.5138
0400000US37,North Carolina,0.4776
0400000US38,North Dakota,0.4664
0400000US39,Ohio,0.4637
0400000US40,Oklahoma,0.4702
0400000US41,Oregon,0.4622
0400000US42,Pennsylvania,0.4685
0400000US44,Rhode Island,0.4732
0400000US45,South Carolina,0.4698
0400000US46,South Dakota,0.4436
0400000US47,Tennessee,0.4789
0400000US48,Texas,0.4823
0400000US49,Utah,0.4252
0400000US50,Vermont,0.4452
0400000US51,Virginia,0.4681
0400000US53,Washington,0.4561
0400000US54,West Virginia,0.4581
0400000US55,Wisconsin,0.441
0400000US56,Wyoming,0.4374
0400000US72,Puerto Rico,0.5589
