Year,weight,Location_of_Residence,HH_Income,Head_of_HH_Age,Head_of_HH_Gender,Hispanic_Origin_of_HH,Head_of_HH_Race,Head_of_HH_RaceOrigin,HH_Size,Population_Size,HH_Region,Police_Notified,Agg_of_PropertyCrime,Type_of_Crime,Victim_Services,Location_of_Incident
2014,2733.34834,2,7,4,1,2,1,1,4,1,4,2,3,8,2,3
2014,2733.34834,2,7,4,1,2,1,1,4,1,4,1,3,8,2,1
2014,3020.78686,1,3,4,1,2,3,3,4,2,4,1,3,8,2,3
2014,3555.98638,1,3,2,2,2,1,1,3,1,3,1,3,7,2,1
2014,2651.97228,3,88,3,1,2,1,1,1,0,2,1,3,6,2,1
2014,2651.97228,3,88,3,1,2,1,1,1,0,2,1,3,6,2,1
2014,2415.43315,2,2,4,1,2,1,1,2,1,2,2,3,8,2,3
2014,2898.96042,2,3,4,1,2,1,1,2,0,3,2,3,8,2,1
2014,2690.528,2,7,4,1,2,1,1,2,1,2,2,3,8,2,4
2014,2604.34382,3,3,5,2,2,1,1,2,1,3,2,3,8,2,3
2014,2777.46519,2,88,3,2,2,1,1,4,0,3,1,3,8,2,1
2014,2275.20654,2,88,4,1,2,1,1,2,1,2,1,3,8,2,3
2014,2275.20654,2,88,4,1,2,1,1,2,1,2,2,3,8,2,2
2014,2455.40265,1,88,4,1,2,2,2,2,4,3,1,3,6,2,1
2014,3587.76676,1,5,2,1,2,1,1,3,1,2,2,3,8,2,1
2014,2690.24523,1,88,3,1,2,1,1,4,5,2,1,3,8,2,1
2014,2906.9905,2,7,3,2,2,1,1,2,0,3,2,3,8,2,1
2014,3401.5691,1,88,2,1,2,1,1,2,2,4,2,3,8,2,3
2014,2694.28922,2,7,5,1,2,1,1,2,0,2,1,3,6,2,1
2014,2790.88508,3,88,2,1,2,1,1,1,0,2,1,3,8,2,3
2014,2863.49763,2,5,2,1,2,1,1,2,1,2,2,3,8,2,3
2014,17644.72002,2,3,2,2,2,1,1,3,1,3,2,3,8,1,1
2014,2601.87656,2,4,4,2,2,1,1,2,1,3,1,3,8,2,1
2014,2920.58064,1,88,4,1,2,2,2,1,4,3,1,3,6,2,1
2014,2920.58064,1,88,4,1,2,2,2,1,4,3,1,3,6,2,1
2014,3770.51689,1,88,2,1,2,2,2,1,1,3,2,3,8,2,1
2014,3495.28585,1,88,2,2,2,2,2,2,2,3,1,3,6,2,1
2014,2680.90116,2,2,5,2,2,1,1,2,1,3,2,3,8,2,1
2014,3082.7778,2,6,3,2,2,2,2,4,1,3,2,3,8,2,2
2014,2878.45981,2,88,3,1,2,1,1,1,0,3,2,3,6,2,1
2014,3424.81401,1,5,2,2,2,2,2,3,5,2,2,3,8,2,3
2014,3812.9458,1,1,2,1,1,1,4,1,1,3,2,3,6,2,1
