id,Geographic Area Name,County,State,Estimate!!Gini Index,Margin of Error!!Gini Index
0500000US17093,Kendall County,Kendall, Illinois,0.3342,0.0285
0500000US49045,Tooele County,Tooele, Utah,0.3499,0.0331
0500000US27141,Sherburne County,Sherburne, Minnesota,0.353,0.0187
0500000US13157,Jackson County,Jackson, Georgia,0.3549,0.0226
0500000US51179,Stafford County,Stafford, Virginia,0.358,0.0163
0500000US55109,St. Croix County,St. Croix, Wisconsin,0.3679,0.0192
0500000US24017,Charles County,Charles, Maryland,0.372,0.0172
0500000US40017,Canadian County,Canadian, Oklahoma,0.3748,0.0187
0500000US24009,Calvert County,Calvert, Maryland,0.375,0.0332
0500000US13223,Paulding County,Paulding, Georgia,0.376,0.0227
0500000US20015,Butler County,Butler, Kansas,0.3771,0.022
0500000US21015,Boone County,Boone, Kentucky,0.3775,0.0189
0500000US18059,Hancock County,Hancock, Indiana,0.3778,0.0323
0500000US13151,Henry County,Henry, Georgia,0.3783,0.018
0500000US49057,Weber County,Weber, Utah,0.3784,0.017
0500000US49011,Davis County,Davis, Utah,0.3794,0.0169
0500000US51199,York County,York, Virginia,0.3799,0.0232
0500000US48397,Rockwall County,Rockwall, Texas,0.3815,0.0213
0500000US16027,Canyon County,Canyon, Idaho,0.3822,0.0234
0500000US27003,Anoka County,Anoka, Minnesota,0.3825,0.0146
0500000US51153,Prince William County,Prince William, Virginia,0.3829,0.0147
0500000US48491,Williamson County,Williamson, Texas,0.3832,0.0106
0500000US28033,DeSoto County,DeSoto, Mississippi,0.3844,0.015
0500000US29037,Cass County,Cass, Missouri,0.386,0.0204
0500000US51069,Frederick County,Frederick, Virginia,0.386,0.0232
0500000US13047,Catoosa County,Catoosa, Georgia,0.387,0.0366
0500000US13013,Barrow County,Barrow, Georgia,0.3877,0.024
0500000US27171,Wright County,Wright, Minnesota,0.3892,0.023
0500000US47149,Rutherford County,Rutherford, Tennessee,0.3909,0.0185
0500000US04021,Pinal County,Pinal, Arizona,0.3916,0.0124
0500000US21029,Bullitt County,Bullitt, Kentucky,0.3926,0.0263
0500000US18063,Hendricks County,Hendricks, Indiana,0.393,0.0335
0500000US51085,Hanover County,Hanover, Virginia,0.3935,0.0252
0500000US08035,Douglas County,Douglas, Colorado,0.3947,0.0147
0500000US40145,Wagoner County,Wagoner, Oklahoma,0.3947,0.0196
0500000US42025,Carbon County,Carbon, Pennsylvania,0.3954,0.0212
0500000US26093,Livingston County,Livingston, Michigan,0.3957,0.0153
0500000US24037,St. Mary's County,St. Mary's, Maryland,0.3958,0.0233
0500000US30049,Lewis and Clark County,Lewis and Clark, Montana,0.3963,0.0312
0500000US27139,Scott County,Scott, Minnesota,0.3964,0.018
0500000US42001,Adams County,Adams, Pennsylvania,0.397,0.0212
0500000US29183,St. Charles County,St. Charles, Missouri,0.3974,0.0112
0500000US26139,Ottawa County,Ottawa, Michigan,0.3975,0.0149
0500000US13297,Walton County,Walton, Georgia,0.3982,0.0256
0500000US53067,Thurston County,Thurston, Washington,0.3982,0.0135
0500000US13117,Forsyth County,Forsyth, Georgia,0.3996,0.0147
0500000US18109,Morgan County,Morgan, Indiana,0.3997,0.0399
0500000US51015,Augusta County,Augusta, Virginia,0.3998,0.0446
0500000US26037,Clinton County,Clinton, Michigan,0.3999,0.0283
0500000US42075,Lebanon County,Lebanon, Pennsylvania,0.3999,0.0207
0500000US24015,Cecil County,Cecil, Maryland,0.4,0.0257
0500000US28121,Rankin County,Rankin, Mississippi,0.4002,0.024
0500000US13015,Bartow County,Bartow, Georgia,0.4003,0.0277
0500000US39169,Wayne County,Wayne, Ohio,0.4006,0.0284
0500000US06075,San Francisco County,San Francisco, California,0.5227,0.01
0500000US18053,Grant County,Grant, Indiana,0.4014,0.0286
0500000US54003,Berkeley County,Berkeley, West Virginia,0.4015,0.0287
0500000US48099,Coryell County,Coryell, Texas,0.4018,0.0223
0500000US55131,Washington County,Washington, Wisconsin,0.4033,0.028
0500000US24033,Prince George's County,Prince George's, Maryland,0.4034,0.007
